-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 01/01/2025 in UTC
Location: Latitude  51.74   Longitude 2.88 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
PSC       MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
WSC       MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Open water (openwater) 
-END HEADER-
YEAR,MO,DY,HR,WD50M,WS50M,PSC,WSC
2024,1,1,0,237.6,17.54,99.53,18.8
2024,1,1,1,241.3,17.28,99.57,18.52
2024,1,1,2,244.3,16.92,99.63,18.13
2024,1,1,3,248.0,16.86,99.69,18.07
2024,1,1,4,252.5,16.7,99.76,17.9
2024,1,1,5,255.9,16.36,99.85,17.53
2024,1,1,6,257.5,15.88,99.95,17.02
2024,1,1,7,257.7,15.59,100.05,16.71
2024,1,1,8,257.1,15.17,100.16,16.26
2024,1,1,9,255.0,14.29,100.25,15.32
2024,1,1,10,254.0,13.64,100.33,14.62
2024,1,1,11,253.2,13.17,100.4,14.12
2024,1,1,12,250.9,12.67,100.43,13.58
2024,1,1,13,245.7,11.68,100.42,12.52
2024,1,1,14,238.5,10.78,100.43,11.55
2024,1,1,15,228.4,9.77,100.45,10.47
2024,1,1,16,216.2,9.62,100.44,10.31
2024,1,1,17,207.1,9.84,100.41,10.55
2024,1,1,18,198.3,9.95,100.35,10.66
2024,1,1,19,186.8,10.42,100.27,11.17
2024,1,1,20,177.6,12.03,100.14,12.89
2024,1,1,21,172.7,13.58,99.94,14.55
2024,1,1,22,176.2,15.08,99.73,16.16
2024,1,1,23,184.9,16.42,99.5,17.6
2024,1,2,0,199.6,17.11,99.24,18.34
2024,1,2,1,218.2,17.61,99.06,18.87
2024,1,2,2,230.6,17.78,98.98,19.06
2024,1,2,3,236.0,17.18,99.0,18.41
2024,1,2,4,236.7,16.16,99.02,17.32
2024,1,2,5,236.0,15.09,99.03,16.17
2024,1,2,6,235.8,14.17,99.06,15.19
2024,1,2,7,232.1,12.89,99.08,13.82
2024,1,2,8,224.7,11.62,99.05,12.45
2024,1,2,9,215.7,11.21,98.99,12.01
2024,1,2,10,208.6,12.19,98.88,13.06
2024,1,2,11,211.8,14.49,98.74,15.53
2024,1,2,12,216.1,15.84,98.59,16.98
2024,1,2,13,214.8,16.74,98.41,17.94
2024,1,2,14,218.5,18.32,98.29,19.63
2024,1,2,15,224.0,19.27,98.19,20.65
2024,1,2,16,228.2,20.69,98.11,22.17
2024,1,2,17,232.7,22.82,98.12,24.46
2024,1,2,18,237.9,23.55,98.16,25.24
2024,1,2,19,245.5,24.19,98.23,25.93
2024,1,2,20,248.4,24.33,98.31,26.08
2024,1,2,21,250.9,23.98,98.41,25.7
2024,1,2,22,255.0,22.6,98.52,24.22
2024,1,2,23,254.2,20.46,98.62,21.93
2024,1,3,0,250.5,18.74,98.69,20.09
2024,1,3,1,247.2,17.32,98.73,18.56
2024,1,3,2,244.7,16.38,98.76,17.56
2024,1,3,3,243.3,15.96,98.77,17.11
2024,1,3,4,243.7,15.73,98.78,16.86
2024,1,3,5,245.9,15.49,98.78,16.6
2024,1,3,6,246.7,15.57,98.8,16.69
2024,1,3,7,246.0,15.57,98.85,16.69
2024,1,3,8,243.8,15.28,98.87,16.38
2024,1,3,9,243.1,15.11,98.89,16.19
2024,1,3,10,242.5,15.07,98.92,16.15
2024,1,3,11,239.5,14.91,98.91,15.98
2024,1,3,12,238.2,15.05,98.87,16.13
2024,1,3,13,240.2,14.76,98.83,15.82
2024,1,3,14,244.0,14.15,98.81,15.17
2024,1,3,15,250.7,13.95,98.82,14.95
2024,1,3,16,258.5,13.69,98.85,14.67
2024,1,3,17,265.6,13.54,98.92,14.51
2024,1,3,18,269.8,13.26,98.99,14.21
2024,1,3,19,272.4,13.13,99.08,14.07
2024,1,3,20,274.1,12.65,99.17,13.56
2024,1,3,21,279.3,12.81,99.27,13.73
2024,1,3,22,285.4,12.11,99.4,12.98
2024,1,3,23,285.6,11.18,99.52,11.98
2024,1,4,0,280.1,10.77,99.64,11.54
2024,1,4,1,273.1,10.54,99.73,11.3
2024,1,4,2,268.8,10.59,99.82,11.35
2024,1,4,3,267.8,10.85,99.88,11.63
2024,1,4,4,267.7,11.04,99.93,11.83
2024,1,4,5,267.4,11.16,99.96,11.96
2024,1,4,6,267.6,11.83,100.02,12.68
2024,1,4,7,267.3,12.45,100.11,13.34
2024,1,4,8,265.8,12.29,100.18,13.17
2024,1,4,9,265.0,11.41,100.23,12.23
2024,1,4,10,265.1,10.02,100.27,10.74
2024,1,4,11,260.0,8.97,100.28,9.61
2024,1,4,12,252.9,8.55,100.28,9.16
2024,1,4,13,246.0,7.61,100.28,8.16
2024,1,4,14,231.2,6.27,100.27,6.72
2024,1,4,15,207.8,5.88,100.24,6.3
2024,1,4,16,183.9,6.47,100.19,6.93
2024,1,4,17,165.1,7.57,100.12,8.11
2024,1,4,18,151.2,9.09,100.02,9.74
2024,1,4,19,141.2,10.63,99.86,11.39
2024,1,4,20,149.8,12.97,99.71,13.9
2024,1,4,21,170.0,14.13,99.6,15.14
2024,1,4,22,185.7,13.63,99.53,14.61
2024,1,4,23,194.5,12.54,99.49,13.44
2024,1,5,0,195.9,12.03,99.45,12.89
2024,1,5,1,191.5,11.99,99.39,12.85
2024,1,5,2,184.8,12.21,99.31,13.09
2024,1,5,3,185.1,12.33,99.21,13.21
2024,1,5,4,188.6,11.67,99.13,12.51
2024,1,5,5,193.2,9.88,99.08,10.59
2024,1,5,6,213.6,7.79,99.07,8.35
2024,1,5,7,246.2,7.69,99.1,8.24
2024,1,5,8,264.9,9.07,99.18,9.72
2024,1,5,9,273.4,10.55,99.28,11.31
2024,1,5,10,280.6,11.54,99.39,12.37
2024,1,5,11,285.4,12.14,99.49,13.01
2024,1,5,12,288.1,12.45,99.58,13.34
2024,1,5,13,290.2,12.23,99.66,13.11
2024,1,5,14,293.8,11.91,99.74,12.76
2024,1,5,15,300.3,11.82,99.82,12.67
2024,1,5,16,307.6,11.94,99.91,12.8
2024,1,5,17,313.1,11.95,99.98,12.81
2024,1,5,18,317.4,11.65,100.07,12.49
2024,1,5,19,322.1,11.27,100.15,12.08
2024,1,5,20,326.8,11.06,100.23,11.85
2024,1,5,21,330.7,10.97,100.31,11.76
2024,1,5,22,333.4,10.76,100.38,11.53
2024,1,5,23,335.6,10.42,100.44,11.17
2024,1,6,0,338.2,10.21,100.49,10.94
2024,1,6,1,341.7,10.24,100.55,10.97
2024,1,6,2,345.4,10.29,100.6,11.03
2024,1,6,3,349.3,10.27,100.66,11.01
2024,1,6,4,353.2,10.1,100.71,10.82
2024,1,6,5,357.0,9.7,100.79,10.4
2024,1,6,6,1.1,9.22,100.88,9.88
2024,1,6,7,4.7,8.93,100.97,9.57
2024,1,6,8,7.3,8.71,101.07,9.34
2024,1,6,9,7.6,8.43,101.15,9.04
2024,1,6,10,6.8,8.4,101.22,9.0
2024,1,6,11,5.4,8.71,101.26,9.34
