-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 01/01/2025 in UTC
Location: Latitude  11.343   Longitude -87.5087 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
PSC       MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
WSC       MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Open water (openwater) 
-END HEADER-
YEAR,MO,DY,HR,WD50M,WS50M,PSC,WSC
2024,1,1,0,73.3,6.1,101.3,6.54
2024,1,1,1,70.0,7.5,101.39,8.04
2024,1,1,2,65.6,9.08,101.46,9.73
2024,1,1,3,63.3,10.05,101.49,10.77
2024,1,1,4,61.7,11.53,101.46,12.36
2024,1,1,5,59.1,11.93,101.43,12.79
2024,1,1,6,56.7,11.85,101.38,12.7
2024,1,1,7,55.8,11.74,101.3,12.58
2024,1,1,8,55.5,11.5,101.25,12.33
2024,1,1,9,54.8,11.16,101.25,11.96
2024,1,1,10,53.7,10.79,101.27,11.56
2024,1,1,11,52.8,10.51,101.32,11.26
2024,1,1,12,52.2,10.37,101.38,11.11
2024,1,1,13,52.1,10.18,101.46,10.91
2024,1,1,14,53.5,9.72,101.52,10.42
2024,1,1,15,56.3,9.12,101.51,9.77
2024,1,1,16,59.3,8.45,101.46,9.06
2024,1,1,17,60.8,7.47,101.39,8.01
2024,1,1,18,58.8,6.04,101.29,6.47
2024,1,1,19,50.5,4.42,101.19,4.74
2024,1,1,20,34.3,3.09,101.11,3.31
2024,1,1,21,18.1,2.42,101.08,2.59
2024,1,1,22,18.8,2.21,101.09,2.37
2024,1,1,23,36.7,2.51,101.12,2.69
2024,1,2,0,52.4,3.26,101.16,3.49
2024,1,2,1,58.3,4.09,101.22,4.38
2024,1,2,2,56.7,4.83,101.29,5.18
2024,1,2,3,51.5,5.41,101.31,5.8
2024,1,2,4,49.7,6.2,101.3,6.65
2024,1,2,5,56.7,7.87,101.29,8.43
2024,1,2,6,62.3,9.05,101.26,9.7
2024,1,2,7,62.9,9.49,101.22,10.17
2024,1,2,8,59.2,9.43,101.2,10.11
2024,1,2,9,54.0,9.07,101.21,9.72
2024,1,2,10,49.0,8.66,101.25,9.28
2024,1,2,11,45.5,8.38,101.3,8.98
2024,1,2,12,44.8,8.34,101.35,8.94
2024,1,2,13,44.8,8.44,101.41,9.05
2024,1,2,14,44.7,8.58,101.44,9.2
2024,1,2,15,46.8,8.76,101.41,9.39
2024,1,2,16,51.0,8.67,101.35,9.29
2024,1,2,17,55.1,7.94,101.27,8.51
2024,1,2,18,59.4,6.8,101.18,7.29
2024,1,2,19,65.4,5.77,101.08,6.18
2024,1,2,20,73.3,5.39,101.0,5.78
2024,1,2,21,78.8,5.51,100.95,5.91
2024,1,2,22,81.1,5.86,100.96,6.28
2024,1,2,23,80.7,6.6,101.01,7.07
2024,1,3,0,77.5,7.59,101.1,8.13
2024,1,3,1,73.9,8.73,101.19,9.36
2024,1,3,2,70.5,9.98,101.27,10.7
2024,1,3,3,68.2,10.73,101.3,11.5
2024,1,3,4,66.7,11.06,101.31,11.85
2024,1,3,5,64.1,11.78,101.29,12.63
2024,1,3,6,60.5,11.49,101.26,12.31
2024,1,3,7,57.5,11.2,101.23,12.0
2024,1,3,8,55.7,10.96,101.2,11.75
2024,1,3,9,54.5,10.52,101.21,11.28
2024,1,3,10,53.3,9.95,101.23,10.66
2024,1,3,11,52.6,9.47,101.27,10.15
2024,1,3,12,53.3,9.2,101.33,9.86
2024,1,3,13,55.7,9.01,101.38,9.66
2024,1,3,14,59.2,8.78,101.42,9.41
2024,1,3,15,62.7,8.58,101.39,9.2
2024,1,3,16,66.7,8.31,101.33,8.91
2024,1,3,17,72.5,7.74,101.25,8.3
2024,1,3,18,79.7,6.96,101.15,7.46
2024,1,3,19,87.6,6.34,101.05,6.8
2024,1,3,20,94.4,5.92,100.98,6.34
2024,1,3,21,99.1,5.71,100.96,6.12
2024,1,3,22,101.9,5.54,100.97,5.94
2024,1,3,23,103.2,5.24,101.02,5.62
2024,1,4,0,101.3,5.07,101.09,5.43
2024,1,4,1,97.3,4.79,101.17,5.13
2024,1,4,2,91.4,4.64,101.22,4.97
2024,1,4,3,86.1,4.58,101.25,4.91
2024,1,4,4,82.2,4.7,101.26,5.04
2024,1,4,5,80.6,5.05,101.24,5.41
2024,1,4,6,82.0,5.62,101.19,6.02
2024,1,4,7,84.6,6.6,101.14,7.07
2024,1,4,8,87.0,7.52,101.12,8.06
2024,1,4,9,89.1,7.93,101.12,8.5
2024,1,4,10,90.1,7.94,101.15,8.51
2024,1,4,11,89.7,7.86,101.2,8.42
2024,1,4,12,87.5,7.77,101.28,8.33
2024,1,4,13,84.4,7.68,101.37,8.23
2024,1,4,14,81.9,7.57,101.44,8.11
2024,1,4,15,79.3,7.25,101.46,7.77
2024,1,4,16,76.6,6.72,101.42,7.2
2024,1,4,17,74.5,6.03,101.35,6.46
